parentGeographicTypeId,temporalTypeId,temporal,temporalDescription,temporalColumnName,temporalRollingColumnName,temporalId,minimumTemporal,minimumTemporalId,parentTemporalTypeId,parentTemporalType,parentTemporal,parentTemporalId,parentMinimumTemporalId,parentMinimumTemporal,year,dataValue,descriptiveValue,descriptiveValueName,includeDescriptiveValueName,COUNT,OBJECTID,FIPS,COUNTY,NAME
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.385,,,,0.385,99239,55055,Jefferson,Jefferson
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.431,,,,0.431,67053,55055,Jefferson,Jefferson
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.449,,,,0.449,68963,55055,Jefferson,Jefferson
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.797,,,,0.797,104049,55057,Juneau,Juneau
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.727,,,,0.727,90419,55057,Juneau,Juneau
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.638,,,,0.638,99299,55057,Juneau,Juneau
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.644,,,,0.644,67113,55057,Juneau,Juneau
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.702,,,,0.702,69023,55057,Juneau,Juneau
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.595,,,,0.595,104109,55059,Kenosha,Kenosha
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.592,,,,0.592,90479,55059,Kenosha,Kenosha
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.651,,,,0.651,99359,55059,Kenosha,Kenosha
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.614,,,,0.614,63656,55059,Kenosha,Kenosha
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.498,,,,0.498,69083,55059,Kenosha,Kenosha
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.074,,,,0.074,104169,55061,Kewaunee,Kewaunee
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.098,,,,0.098,90539,55061,Kewaunee,Kewaunee
